Datum;Union;SPD;AfD;FDP;Linke;Grüne
2018-05-18;33;17;14;8;10;13
2018-05-09;32;18;15;8;9;13
2018-04-20;32;17;15;10;10;12
2018-04-05;33;18;14;9;10;12
2018-03-23;33;19;13;9;10;12
2018-03-01;34;18;15;9;9;11
2018-02-23;34;17;14;9;10;12
2018-02-15;33;16;15;9;11;13
2018-02-01;33;18;14;10;11;11
2018-01-26;33;19;12;10;10;11
2018-01-04;33;21;13;9;9;11
2017-12-15;32;20;13;9;9;12
2017-12-07;32;21;13;9;10;11
2017-11-20;32;22;11;10;10;11
2017-11-17;31;21;12;11;10;11
2017-11-09;30;21;13;12;9;11
2017-10-20;31;21;12;12;9;11
2017-10-12;32;20;11;11;10;10
2017-09-14;37;20;12;9,5;9;7,5
2017-09-07;37;21;11;9;10;8
2017-08-31;37;23;11;8;9;8
2017-08-25;38;22;10;9;9;8
2017-08-09;39;24;8;8;9;8
2017-07-28;40;23;9;8;8;8
2017-07-06;39;23;9;9;9;8
2017-06-16;39;24;8;9;8;7
2017-06-08;38;24;9;10;8;7
2017-05-19;38;26;9;9;6;8
2017-05-11;37;27;10;8;7;8
2017-04-21;35;30;10;6;8;7
2017-04-13;34;31;11;6;7;8
2017-03-24;32;32;11;6;7;8
2017-03-09;32;31;11;6;8;8
2017-02-24;31;32;11;6;7;8
2017-02-02;34;28;12;6;8;8
2017-01-27;35;23;14;6;8;9
2017-01-05;37;20;15;5;9;9
2016-12-16;36;21;13;6;9;10
2016-12-08;35;22;13;5;9;11
2016-11-18;32;23;12;6;9;13
2016-11-03;33;22;13;6;9;12
2016-10-21;33;22;14;5;9;12
2016-10-06;33;22;14;6;9;11
2016-09-23;32;22;16;6;8;12
2016-09-01;33;23;14;5;9;11
2016-08-26;33;22;13;5;9;12
2016-08-04;34;22;12;5;9;13
2016-07-15;33;22;12;6;8;14
2016-07-07;34;22;12;6;9;13
2016-06-17;31;21;14;7;9;14
2016-06-02;32;21;15;6;9;13
2016-05-20;32;21;15;7;9;12
2016-05-04;33;20;15;6;8;13
2016-04-22;33;21;14;7;8;12
2016-04-07;34;21;14;7;7;13
2016-03-24;34;22;13;7;8;12
2016-02-29;36;23;11;6;9;10
2016-02-26;37;23;10;6;8;11
2016-02-03;35;24;12;5;9;10
2016-01-15;37;25;10;4;8;10
2016-01-07;39;24;9;4;8;11
2015-12-18;38;24;10;4;8;10
2015-12-03;37;25;10;4;8;11
2015-11-20;37;25;9;5;8;10
2015-11-05;37;24;8;5;9;11
2015-10-23;38;24;8;5;9;11
2015-10-01;40;24;6;5;9;10
2015-09-11;42;25;4;4;9;11
2015-09-03;42;24;4;4;8;12
2015-08-14;42;24;4;4;9;11
2015-07-30;42;24;4;5;9;11
2015-07-17;41;24;4;6;9;11
2015-07-02;40;25;5;5;10;11
2015-06-19;40;25;5;5;10;10
2015-06-03;40;25;5;6;9;10
2015-05-22;41;26;5;5;9;9
2015-05-07;40;25;6;4;9;10
2015-04-24;41;24;6;4;8;11
2015-04-02;41;25;6;4;9;10
2015-03-13;41;24;6;4;9;11
2015-03-05;41;25;6;4;9;10
2015-02-13;42;24;7;3;8;10
2015-02-05;41;25;6;3;9;10
2015-01-16;41;25;6;4;8;10
2015-01-08;41;26;6;3;8;10
2014-12-19;42;25;6;-;8;10
2014-12-04;40;26;7;2;9;11
2014-11-21;41;26;6;3;8;11
2014-11-06;41;25;7;3;9;10
2014-10-24;40;26;7;2;9;10
2014-10-02;41;24;9;2;10;9
2014-09-26;39;25;8;3;10;10
2014-09-04;40;24;7;3;10;10
2014-08-29;42;25;5;3;9;9
2014-08-07;41;26;5;3;9;10
2014-07-18;40;26;4;4;10;10
2014-07-03;39;26;5;4;9;11
2014-06-20;39;25;6;4;8;12
2014-06-05;38;26;7;4;9;11
2014-05-15;39;26;6;4;9;11
2014-04-30;40;26;5;4;9;10
2014-04-25;41;25;5;4;10;10
2014-04-03;41;26;5;4;9;10
2014-03-28;41;25;5;4;8;10
2014-03-06;42;24;4;4;9;11
2014-02-28;40;26;5;4;9;10
2014-02-06;41;27;5;4;9;9
2014-01-31;42;27;4;4;8;9
2014-01-09;41;27;4;4;8;9
2013-12-20;42;27;4;4;8;9
2013-12-05;43;25;4;3;9;10
2013-11-22;42;25;4;3;9;10
2013-11-07;42;26;4;3;9;10
2013-10-25;40;27;5;4;9;9
2013-10-10;42;26;4,5;3;9;8
2013-09-22;41,5;25,7;4,7;4,8;8,6;8,4
2013-09-12;40;28;2,5;5;8;10
2013-09-05;41;27;3;5;8;10
2013-08-29;41;26;3;5;8;11
2013-08-23;42;24;3;5;9;12
2013-08-15;42;25;-;5;8;12
2013-08-09;42;25;-;5;7;13
2013-08-01;42;26;-;5;7;13
2013-07-25;42;25;2;4;7;14
2013-07-19;41;26;3;4;7;13
2013-07-12;41;26;3;4;6;14
2013-07-04;42;25;-;4;7;14
2013-06-28;41;26;-;4;7;13
2013-06-21;41;25;-;5;7;14
2013-06-14;41;26;2;4;7;15
2013-06-06;41;27;3;4;6;14
2013-05-31;42;26;3;4;6;14
2013-05-24;41;27;2;4;6;14
2013-05-17;41;26;3;4;6;14
2013-05-10;40;27;3;5;6;14
2013-05-02;40;26;3;4;7;15
2013-04-26;40;27;3;4;7;14
2013-04-21;41;27;3;4;7;14
2013-04-12;42;27;-;4;7;15
2013-04-04;41;27;-;4;8;14
2013-03-28;39;28;-;4;8;15
2013-03-22;38;27;-;5;8;16
2013-03-14;40;25;-;5;7;17
2013-03-07;40;26;-;4;7;17
2013-02-28;41;27;-;4;6;15
2013-02-21;40;28;-;5;6;15
2013-02-15;40;27;-;4;7;16
2013-02-07;39;29;-;4;6;15
2013-01-31;40;27;-;4;6;15
2013-01-24;42;27;-;4;6;14
2013-01-18;42;26;-;4;7;13
2013-01-10;41;28;-;4;6;14
2013-01-04;41;29;-;4;6;12
2012-12-21;40;30;-;4;7;13
2012-12-06;39;30;-;4;7;14
2012-11-23;39;29;-;4;6;15
2012-11-08;40;30;-;4;6;14
2012-10-26;38;30;-;4;7;13
2012-10-04;39;31;-;4;7;11
2012-09-28;37;30;-;4;7;12
2012-09-06;37;30;-;4;6;13
2012-08-17;36;29;-;5;6;13
2012-08-01;36;28;-;5;6;13
2012-07-20;35;30;-;4;6;14
2012-07-05;35;30;-;4;7;14
2012-06-22;34;31;-;4;6;14
2012-06-06;34;30;-;5;5;13
2012-05-25;33;29;-;5;6;13
2012-05-18;33;30;-;5;5;13
2012-05-03;34;28;-;4;6;14
2012-04-12;35;27;-;3;6;14
2012-04-04;35;27;-;3;7;14
2012-03-16;37;30;-;3;7;13
2012-03-01;37;28;-;3;7;14
2012-02-17;36;29;-;3;7;16
2012-02-02;36;29;-;3;7;15
2012-01-19;36;29;-;3;7;15
2012-01-05;35;30;-;2;6;16
2011-12-23;36;30;-;3;6;16
2011-12-01;35;30;-;3;7;16
2011-11-25;35;30;-;3;7;14
2011-11-03;34;31;-;4;6;15
2011-10-28;33;32;-;3;7;14
2011-10-06;32;30;-;3;6;17
2011-09-26;34;30;-;4;6;18
2011-09-16;33;30;-;5;7;19
2011-09-09;35;30;-;3;7;18
2011-09-01;35;28;-;4;7;20
2011-08-19;34;27;-;5;7;21
2011-08-04;32;28;-;4;8;23
2011-07-22;33;27;-;4;8;23
2011-07-07;32;26;-;5;8;23
2011-06-24;34;26;-;4;7;23
2011-06-10;33;25;-;5;8;24
2011-05-22;33;26;-;4;8;23
2011-05-13;33;26;-;5;8;22
2011-05-05;35;26;-;4;7;23
2011-04-15;33;26;-;4;8;24
2011-04-07;33;27;-;5;7;23
2011-03-24;35;27;-;5;7;21
2011-03-18;35;28;-;5;7;20
2011-03-10;35;28;-;6;9;15
2011-02-24;35;27;-;6;8;17
2011-02-18;37;25;-;5;8;18
2011-02-13;35;26;-;5;9;19
2011-02-03;36;25;-;5;8;19
2011-01-21;34;28;-;4;8;19
2011-01-06;36;26;-;4;9;19
2010-12-10;33;27;-;5;10;20
2010-12-02;32;27;-;5;10;21
2010-11-12;31;26;-;5;10;23
2010-11-04;32;27;-;5;9;22
2010-10-15;31;28;-;5;10;21
2010-10-07;32;27;-;5;11;20
2010-09-30;33;29;-;5;10;18
2010-09-17;32;29;-;5;10;18
2010-09-02;32;30;-;5;10;17
2010-08-20;31;31;-;5;10;16
2010-08-05;31;31;-;5;10;17
2010-07-23;33;30;-;5;10;17
2010-07-01;33;30;-;5;10;17
2010-06-15;32;29;-;5;11;17
2010-06-11;31;29;-;6;12;16
2010-06-02;32;29;-;8;10;16
2010-05-27;33;27;-;7;11;16
2010-05-14;32;28;-;7;11;17
2010-04-29;35;26;-;8;10;16
2010-04-16;36;26;-;9;10;14
2010-03-31;35;28;-;8;10;14
2010-03-19;35;27;-;9;10;14
2010-03-04;36;25;-;10;11;14
2010-02-19;34;27;-;10;10;15
2010-02-04;36;26;-;8;11;15
2010-01-22;36;25;-;10;11;13
2010-01-07;36;25;-;11;10;12
2009-12-11;35;24;-;12;11;14
2009-12-03;35;24;-;12;11;13
2009-11-19;35;22;-;13;12;12
2009-11-13;35;21;-;13;12;13
2009-11-05;35;22;-;14;12;12
2009-10-16;34;22;-;14;13;12
2009-10-08;34;23;-;14;13;11
2009-09-17;35;26;-;14;11;10
2009-09-10;35;23;-;14;12;12
2009-09-03;35;23;-;14;11;13
2009-08-27;35;23;-;15;10;13
2009-08-20;36;23;-;15;9;13
2009-08-13;37;22;-;15;9;12
2009-08-06;35;23;-;16;10;13
2009-07-30;36;24;-;14;10;13
2009-07-17;36;23;-;14;10;13
2009-07-02;35;23;-;15;10;13
2009-06-26;35;24;-;15;9;13
2009-06-11;36;25;-;14;9;13
2009-05-15;35;28;-;13;9;12
2009-05-07;34;27;-;14;10;11
2009-04-16;35;26;-;14;10;11
2009-04-08;34;27;-;14;10;11
2009-04-02;34;26;-;15;11;11
2009-03-20;33;27;-;16;10;10
2009-03-05;32;27;-;17;10;11
2009-02-20;33;26;-;16;11;11
2009-02-05;34;25;-;16;11;11
2009-01-22;35;25;-;14;11;11
2009-01-08;37;26;-;13;10;10
2008-12-18;37;24;-;12;11;11
2008-12-12;36;23;-;13;12;12
2008-12-05;37;23;-;12;12;12
2008-11-06;37;25;-;11;12;11
2008-10-16;35;25;-;12;13;10
2008-10-02;35;25;-;13;11;11
2008-09-18;37;26;-;12;12;10
2008-09-10;36;26;-;12;12;10
2008-09-04;36;26;-;11;13;10
2008-08-21;37;25;-;12;13;10
2008-08-08;36;24;-;12;14;11
2008-07-10;37;24;-;11;12;12
2008-07-03;36;25;-;12;13;11
2008-06-12;36;24;-;12;13;11
2008-06-05;34;24;-;13;14;12
2008-05-15;36;25;-;11;12;12
2008-05-01;37;27;-;10;12;10
2008-04-24;36;27;-;10;12;11
2008-04-03;37;26;-;10;12;11
2008-03-20;38;27;-;9;12;11
2008-03-06;39;28;-;8;12;10
2008-02-21;37;29;-;10;12;9
2008-02-07;38;30;-;9;11;9
2008-01-24;39;30;-;9;10;9
2008-01-11;39;30;-;9;9;9
2007-12-14;39;28;-;10;10;9
2007-12-06;40;28;-;9;11;9
2007-11-15;41;30;-;8;9;9
2007-11-01;40;30;-;8;10;8
2007-10-18;41;28;-;7;10;10
2007-10-05;40;27;-;8;11;10
2007-09-20;39;27;-;10;10;11
2007-09-06;39;27;-;9;10;11
2007-08-10;38;28;-;10;10;10
2007-08-02;38;28;-;9;11;11
2007-07-12;38;28;-;9;11;11
2007-07-05;38;28;-;10;11;10
2007-06-24;38;29;-;9;10;10
2007-06-14;38;29;-;9;9;11
2007-06-07;37;31;-;9;9;11
2007-05-18;37;30;-;9;9;11
2007-05-11;36;31;-;10;8;11
2007-05-03;37;31;-;10;8;11
2007-04-19;36;31;-;10;8;11
2007-04-05;36;31;-;11;8;11
2007-03-09;37;30;-;10;8;11
2007-03-01;36;31;-;10;8;11
2007-02-08;33;32;-;12;8;11
2007-02-01;35;31;-;11;8;11
2007-01-11;35;31;-;11;8;10
2007-01-04;36;30;-;11;8;11
2006-12-14;34;31;-;11;8;12
2006-12-07;35;31;-;10;8;11
2006-11-16;34;32;-;11;8;10
2006-11-02;31;31;-;13;9;12
2006-10-19;32;32;-;12;9;11
2006-10-05;30;33;-;13;9;10
2006-09-21;32;31;-;13;9;10
2006-09-07;34;28;-;14;9;10
2006-08-24;35;29;-;13;10;9
2006-08-03;35;29;-;12;9;10
2006-07-21;35;29;-;13;9;10
2006-07-13;35;28;-;12;9;11
2006-07-06;35;29;-;12;10;10
2006-06-15;37;30;-;10;10;9
2006-06-09;37;30;-;10;9;10
2006-06-01;37;30;-;10;9;10
2006-05-18;37;30;-;10;9;10
2006-05-11;38;31;-;9;9;9
2006-05-04;39;31;-;9;8;10
2006-04-27;37;32;-;9;8;10
2006-04-20;38;32;-;9;8;10
2006-04-12;40;31;-;9;8;9
2006-04-06;40;30;-;10;8;9
2006-03-30;41;31;-;9;8;8
2006-03-23;41;31;-;8;8;9
2006-03-16;40;30;-;9;8;9
2006-03-09;41;29;-;9;8;9
2006-03-02;41;30;-;9;7;10
2006-02-23;42;31;-;8;7;9
2006-02-16;42;30;-;9;8;8
2006-02-09;41;31;-;8;8;8
2006-02-02;40;32;-;8;9;7
2006-01-26;40;33;-;7;9;8
2006-01-19;39;32;-;8;9;9
2006-01-12;39;32;-;8;9;9
2006-01-05;39;31;-;9;9;9
2005-12-21;36;32;-;9;10;9
2005-12-15;35;33;-;10;9;9
2005-12-08;36;34;-;10;8;9
2005-12-01;36;34;-;10;8;9
2005-11-24;35;34;-;10;9;9
2005-11-17;34;34;-;11;9;9
2005-11-10;36;33;-;10;10;8
2005-11-03;37;32;-;10;9;9
2005-10-27;36;34;-;9;9;9
2005-10-20;37;34;-;9;9;8
2005-10-13;37;34;-;9;8;8
2005-10-06;36;34;-;10;8;8
2005-09-29;36;34;-;9;9;8
2005-09-22;35;34;-;10;9;8
2005-09-08;41;34;-;6,5;8,5;7
2005-09-01;43;32;-;6;9;7
2005-08-25;42;31;-;7;9;8
2005-08-17;42;30;-;7;9;8
2005-08-11;42;29;-;6;10;9
2005-08-04;42;29;-;6;11;8
2005-07-28;42;28;-;7;12;8
2005-07-21;42;27;-;7;12;9
2005-07-15;42;27;-;8;11;9
2005-07-08;43;27;-;7;11;8
2005-07-01;44;27;-;7;10;8
2005-06-24;45;27;-;7;9;9
2005-06-17;46;28;-;7;8;8
2005-06-10;47;29;-;7;5;9
2005-06-03;48;28;-;7;4;9
2005-05-27;47;29;-;6;5;8
2005-05-23;46;30;-;7;5;7
2005-05-22;46;29;-;8;4;8
2005-05-20;45;29;-;7;4;10
2005-05-13;44;29;-;8;4;10
2005-05-04;45;29;-;7;4;10
2005-04-29;45;29;-;6;5;10
2005-04-22;44;30;-;6;5;10
2005-04-15;44;29;-;7;5;9
2005-04-08;45;29;-;7;5;9
2005-04-01;45;29;-;7;5;9
2005-03-24;44;30;-;7;5;9
2005-03-18;43;30;-;7;5;9
2005-03-11;44;30;-;6;5;10
2005-03-04;43;31;-;6;5;10
2005-02-25;42;31;-;6;5;11
2005-02-18;40;32;-;7;5;11
2005-02-11;40;31;-;7;5;11
2005-02-04;39;32;-;7;5;11
2005-01-28;38;33;-;7;5;12
2005-01-21;38;33;-;8;4;12
2005-01-14;37;33;-;8;5;12
2005-01-07;38;33;-;8;5;12
2004-12-22;38;34;-;7;5;12
2004-12-17;40;32;-;7;5;11
2004-12-10;40;32;-;8;5;11
2004-12-03;40;33;-;7;4;11
2004-11-26;39;32;-;8;5;11
2004-11-19;39;32;-;7;5;12
2004-11-12;40;31;-;7;5;12
2004-11-05;40;30;-;8;5;13
2004-10-29;38;31;-;8;6;12
2004-10-22;38;31;-;8;5;12
2004-10-15;40;30;-;7;5;13
2004-10-08;41;29;-;7;6;12
2004-10-01;41;29;-;7;6;12
2004-09-24;43;26;-;7;6;13
2004-09-17;43;26;-;6;6;13
2004-09-10;44;26;-;6;6;13
2004-09-03;44;26;-;6;7;12
2004-08-27;43;25;-;7;7;12
2004-08-20;43;24;-;6;8;13
2004-08-13;44;24;-;7;8;12
2004-08-06;44;23;-;8;7;13
2004-07-30;44;25;-;7;7;12
2004-07-23;44;25;-;7;7;12
2004-07-16;46;23;-;7;7;13
2004-07-12;45;23;-;7;7;13
2004-07-02;45;23;-;7;7;13
2004-06-25;45;24;-;7;6;13
2004-06-18;45;24;-;8;6;12
2004-06-11;46;26;-;8;5;11
2004-06-04;46;27;-;6;5;11
2004-05-28;46;27;-;7;5;11
2004-05-21;47;26;-;6;5;11
2004-05-14;47;26;-;7;4;12
2004-05-07;46;27;-;7;4;12
2004-04-30;47;26;-;6;5;11
2004-04-23;46;27;-;6;5;11
2004-04-16;46;27;-;7;5;11
2004-04-08;46;27;-;7;5;11
2004-04-02;47;27;-;7;5;11
2004-03-26;48;26;-;6;5;11
2004-03-19;48;26;-;6;4;12
2004-03-12;49;25;-;6;5;11
2004-03-05;50;24;-;6;5;11
2004-02-27;47;25;-;9;5;11
2004-02-20;47;25;-;9;5;11
2004-02-13;48;24;-;8;5;11
2004-02-06;49;24;-;8;5;11
2004-01-30;48;25;-;8;5;11
2004-01-23;47;25;-;8;5;12
2004-01-16;48;26;-;7;5;11
2004-01-09;48;26;-;7;5;10
2003-12-19;49;26;-;6;4;11
2003-12-12;50;25;-;7;4;10
2003-12-05;51;26;-;6;3;10
2003-11-28;49;27;-;7;3;11
2003-11-21;49;27;-;7;3;11
2003-11-14;50;25;-;6;4;11
2003-11-07;51;24;-;7;4;10
2003-10-31;51;24;-;6;4;11
2003-10-24;50;25;-;6;3;12
2003-10-17;50;26;-;5;3;11
2003-10-10;50;26;-;5;3;11
2003-10-03;50;27;-;5;3;11
2003-09-26;48;28;-;6;4;11
2003-09-19;46;29;-;7;4;10
2003-09-12;46;30;-;6;4;9
2003-09-05;46;29;-;6;4;10
2003-08-29;46;30;-;6;4;10
2003-08-22;46;30;-;7;4;10
2003-08-15;45;30;-;8;3;10
2003-08-08;46;30;-;7;4;10
2003-08-01;46;31;-;6;4;9
2003-07-25;45;31;-;7;4;10
2003-07-18;46;31;-;6;4;10
2003-07-11;46;32;-;6;4;9
2003-07-04;47;30;-;7;4;10
2003-06-27;47;30;-;6;4;10
2003-06-20;48;30;-;6;4;9
2003-06-13;47;29;-;7;4;10
2003-06-06;47;29;-;7;4;10
2003-05-30;46;30;-;7;4;11
2003-05-23;47;28;-;8;4;10
2003-05-16;48;27;-;8;4;10
2003-05-09;47;29;-;7;4;11
2003-05-02;48;28;-;7;4;10
2003-04-25;46;30;-;6;3;12
2003-04-18;47;30;-;5;4;11
2003-04-11;46;31;-;6;3;10
2003-04-04;45;31;-;6;3;11
2003-03-28;46;31;-;5;3;11
2003-03-21;47;30;-;5;4;10
2003-03-14;49;28;-;6;3;11
2003-03-07;49;27;-;6;3;12
2003-02-28;49;28;-;6;4;11
2003-02-21;49;28;-;6;3;11
2003-02-14;49;27;-;6;3;12
2003-02-07;49;28;-;6;3;11
2003-01-31;47;30;-;7;3;10
2003-01-24;47;30;-;7;3;10
2003-01-17;47;30;-;6;3;11
2003-01-10;48;29;-;5;3;12
2003-01-03;47;31;-;5;4;10
2002-12-20;47;30;-;5;4;11
2002-12-13;47;29;-;6;4;11
2002-12-06;48;28;-;5;4;12
2002-11-29;48;30;-;5;4;11
2002-11-22;48;30;-;4;4;11
2002-11-15;46;32;-;5;4;10
2002-11-08;44;34;-;5;4;10
2002-11-01;43;35;-;6;4;9
2002-10-25;41;36;-;6;4;10
2002-10-18;40;37;-;6;4;10
2002-10-11;39;38;-;7;4;9
2002-10-04;39;38;-;7;4;9
2002-09-22;38;38;-;7;4;9
2002-09-06;40;38;-;8;4;8
2002-08-30;41;39;-;7;4;7
2002-08-23;41;36;-;8;4;7
2002-08-16;40;34;-;10;5;7
2002-08-09;41;34;-;9;5;7
2002-08-02;40;35;-;9;5;7
2002-07-26;41;35;-;9;5;7
2002-07-19;40;35;-;9;6;6
2002-07-12;40;35;-;9;6;6
2002-07-05;40;36;-;9;6;6
2002-06-01;39;34;-;10;6;8
2002-05-01;41;32;-;11;5;7
2002-04-01;39;34;-;9;7;7
2002-03-01;40;36;-;9;6;6
2002-02-01;41;36;-;8;7;6
2002-01-01;39;38;-;8;7;5
2001-12-01;36;40;-;9;7;6
2001-11-01;35;41;-;9;6;6
2001-10-01;36;40;-;9;5;6
2001-09-01;36;38;-;10;5;7
2001-08-01;36;38;-;10;6;7
2001-07-01;34;39;-;10;7;7
2001-06-01;37;39;-;9;5;7
2001-05-01;35;41;-;8;5;7
2001-04-01;36;39;-;8;5;7
2001-03-01;35;40;-;8;5;8
2001-02-01;35;38;-;9;5;8
2001-01-01;37;38;-;9;5;7
2000-12-01;37;38;-;7;5;8
2000-11-01;37;39;-;7;6;6
2000-10-01;39;39;-;6;6;6
2000-09-01;34;43;-;8;6;6
2000-08-01;34;42;-;9;5;6
2000-07-01;38;39;-;8;5;6
2000-06-01;39;38;-;9;5;7
2000-05-01;36;41;-;7;5;6
2000-04-07;34;39;-;7;7;8
2000-03-03;31;42;-;9;7;7
2000-02-04;31;43;-;8;6;8
2000-01-07;39;39;-;5;6;7